ThreadsPerBlock,Run,Iterations,Time_seconds
64,1,67,0.1444
64,2,67,0.1298
64,3,67,0.1298
64,4,67,0.1275
64,5,67,0.1277
128,1,67,0.1168
128,2,67,0.1154
128,3,67,0.1179
128,4,67,0.1168
128,5,67,0.1183
256,1,67,0.1197
256,2,67,0.1214
256,3,67,0.1188
256,4,67,0.1192
256,5,67,0.1195
512,1,67,0.1392
512,2,67,0.1360
512,3,67,0.1384
512,4,67,0.1403
512,5,67,0.1378
768,1,67,0.1684
768,2,67,0.1672
768,3,67,0.1667
768,4,67,0.1676
768,5,67,0.1692
1024,1,67,0.2621
1024,2,67,0.2618
1024,3,67,0.2636
1024,4,67,0.2571
1024,5,67,0.2615
